TeamNum,TeamName,TeamCountry,TeamCity
904,D Cubed,USA,Grand Rapids
905,Platt Tech Panthers,USA,Milford
906,UMR,USA,Rolla
907,"East York Cybernetics ""The Cybernauts""",Canada,East York
908,Botz of Prey,USA,North Charleston
909,Junkyard Crew,USA,Lawrence
910,The Foley Freeze,USA,Madison Heights
912,Iron Lyons,Canada,Toronto
913,Bendale Robotics,Canada,Toronto
914,NextGen,Canada,Aurora
915,Team 915,Canada,Toronto
917,Team 917,Canada,Toronto
918,Team 918,Canada,Toronto
919,PANTHERA TIGRIS,Canada,Toronto
920,Team 920,USA,Philadelphia
922,ULTIMATE:  United Longhorn Team Inspiring Mental Attitude Towards Engineering,USA,Laredo
925,Code Red,USA,China Grove
926,The Capacitors,USA,Raleigh
927,Team 927,USA,Reston
928,Hounds of Steel,USA,Washington
930,Mukwonago BEARs,USA,Mukwonago
931,Perpetual Chaos,USA,Saint Louis
932,The Circuit Chargers,USA,Tulsa
933,Trigos,USA,Rockford
934,Team 934,USA,Lawrence
935,RaileRobotics,USA,Newton
936,Big Dogs,USA,Osborne
937,Nerd Herd,USA,Overland Park
938,Code Gold,USA,Richmond
939,Hiphopanonymous,USA,Sisseton
940,Digital Demolition,USA,Brookings
941,Arrow Robotics,USA,Watertown
942,Roboteers,USA,Woonsocket
943,Great Balls of Fire,USA,Volga
945,Team Banana,USA,Orlando
946,Creepy Crafters,USA,Coral Springs
947,Hannibal Gear Gals,USA,Daytona Beach
948,NRG (Newport Robotics Group),USA,Bellevue
949,Wolverine Robotics,USA,Bellevue
